annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2020;213;366;sudouest_prairie_41_1;solnu;;1.42;0.0;47.59;0.0;0.0;35.0;81.0;0.17;0.0;0;0;0;-530.18;0.15;0.03;0.0;1.42
2021;1;144;sudouest_prairie_41_1;solnu;;11.19;29.93;24.67;0.0;0.0;78.76;292.29;0.24;0.01;0;0;0;-275.53;0.23;0.01;29.93;11.19
2021;145;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;89.16;0.0;69.76;0.0;167.78;293.01;103.57;0.56;0.04;0;54.47;0;-782.21;0.52;0.04;0.0;89.16
2021;315;365;sudouest_prairie_41_1;solnu;;15.96;0.0;5.87;-9.63;0.0;103.57;87.92;0.0;0.0;0;0;0;-163.35;0.0;0.0;0.0;15.96
2022;1;133;sudouest_prairie_41_1;solnu;;20.87;15.92;22.23;-31.76;0.0;87.98;206.13;0.11;0.03;0;0;0;-119.1;0.11;0.0;15.92;20.87
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;46.8;14.01;72.79;7.27;214.76;206.31;80.21;0.39;0.02;0;69.73;0;-278.41;0.34;0.05;14.01;46.8
2022;315;365;sudouest_prairie_41_1;solnu;;5.33;0.0;5.51;-9.09;0.0;80.21;73.87;0.0;0.0;0;0;0;-118.19;0.0;0.0;0.0;5.33
2023;1;150;sudouest_prairie_41_1;solnu;;4.05;29.93;24.98;-31.14;0.0;73.87;268.23;0.04;0.0;0;0;0;22.58;0.03;0.0;29.93;4.05
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;10.09;0.0;59.7;10.7;242.84;268.5;84.56;0.28;0.06;0;78.84;0;-85.18;0.24;0.04;0.0;10.09
2023;315;365;sudouest_prairie_41_1;solnu;;3.29;0.0;5.25;-7.95;0.0;84.56;81.44;0.0;0.0;0;0;0;-96.64;0.0;0.0;0.0;3.29
2024;1;150;sudouest_prairie_41_1;solnu;;17.78;29.93;22.55;-27.83;0.0;81.55;260.97;0.19;0.04;0;0;0;115.15;0.19;0.01;29.93;17.78
2024;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;55.49;0.0;65.26;11.93;187.94;261.34;94.22;0.41;0.1;0;61.02;0;-34.27;0.36;0.05;0.0;55.49
2024;315;366;sudouest_prairie_41_1;solnu;;1.86;0.0;7.01;-11.11;0.0;94.22;91.63;0.0;0.0;0;0;0;-142.6;0.0;0.0;0.0;1.86
2025;1;150;sudouest_prairie_41_1;solnu;;7.65;29.93;25.09;-28.18;0.0;91.47;284.39;0.01;0.0;0;0;0;78.53;0.0;0.0;29.93;7.65
2025;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;5.76;0.0;62.81;11.05;264.47;284.57;86.47;0.26;0.01;0;85.87;0;-123.78;0.22;0.04;0.0;5.76
2025;315;365;sudouest_prairie_41_1;solnu;;3.57;0.0;4.91;-15.17;0.0;86.47;74.23;0.0;0.0;0;0;0;-51.13;0.0;0.0;0.0;3.57
2026;1;136;sudouest_prairie_41_1;solnu;;15.81;29.93;21.02;-27.94;0.0;74.08;198.16;0.07;0.0;0;0;0;89.41;0.07;0.0;29.93;15.81
2026;137;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;20.34;0.0;68.01;16.62;221.05;254.65;96.9;0.38;0.12;0;71.77;0;-19.97;0.33;0.05;0.0;20.34
2026;315;365;sudouest_prairie_41_1;solnu;;2.88;0.0;5.28;-14.65;0.0;96.9;88.04;0.0;0.0;0;0;0;-87.76;0.0;0.0;0.0;2.88
2027;1;150;sudouest_prairie_41_1;solnu;;17.49;29.93;22.3;-25.32;0.0;88.04;270.17;0.07;0.0;0;0;0;137.82;0.07;0.0;29.93;17.49
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;8.47;0.0;64.04;14.14;267.16;270.49;71.42;0.23;0.01;0;86.74;0;-79.32;0.18;0.05;0.0;8.47
2027;315;365;sudouest_prairie_41_1;solnu;;7.74;0.0;5.92;-11.34;0.0;71.42;62.03;0.0;0.0;0;0;0;-101.1;0.0;0.0;0.0;7.74
2028;1;138;sudouest_prairie_41_1;solnu;;11.02;29.93;20.35;-25.46;0.0;60.85;193.18;0.07;0.02;0;0;0;141.07;0.07;0.0;29.93;11.02
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;4.5;0.0;57.8;12.14;239.33;193.4;75.02;0.25;0.01;0;77.71;0;47.46;0.2;0.04;0.0;4.5
2028;315;366;sudouest_prairie_41_1;solnu;;7.53;0.0;6.83;-16.44;0.0;75.02;62.44;0.0;0.0;0;0;0;-88.46;0.0;0.0;0.0;7.53
2029;1;150;sudouest_prairie_41_1;solnu;;9.32;29.93;26.08;-21.45;0.0;62.28;258.85;0.1;0.01;0;0;0;232.95;0.09;0.01;29.93;9.32
2029;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;16.04;0.0;64.74;13.5;246.5;259.17;73.37;0.41;0.04;0;80.03;0;-92.52;0.36;0.05;0.0;16.04
2029;315;365;sudouest_prairie_41_1;solnu;;11.3;0.0;6.51;-9.46;0.0;73.37;62.09;0.0;0.0;0;0;0;-101.38;0.0;0.0;0.0;11.3
2030;1;150;sudouest_prairie_41_1;solnu;;3.35;29.93;24.37;-25.58;0.0;62.09;260.9;0.03;0.0;0;0;0;108.96;0.02;0.01;29.93;3.35
2030;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;22.63;0.0;55.24;11.49;240.56;261.11;64.08;0.34;0.03;0;78.1;0;-36.06;0.3;0.04;0.0;22.63
2030;315;365;sudouest_prairie_41_1;solnu;;10.35;0.0;7.1;-12.27;0.0;64.08;52.98;0.0;0.0;0;0;0;-115.75;0.0;0.0;0.0;10.35
