annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[Â°C]
2020;213;226;sudouest_prairie_41_1;solnu;;30.42;0.0;0.0;0.03;0.0;45.53;248.32;46.54;250.64;-1.0;-1.0;0.0;35.27;0.0;0.0
2020;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;118.92;18.52;38.47;3.25;0.0;46.94;251.04;112.81;310.37;-1.0;-1.0;99.61;255.76;0.0;17.99
2021;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;278.77;141.49;319.75;57.49;0.01;310.4;248.32;250.6;310.4;113.48;310.4;100.0;717.4;0.0;17.99
2022;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;69.18;37.33;125.65;13.99;0.0;310.02;248.32;258.57;298.68;250.42;310.02;99.18;220.45;0.0;17.99
2022;123;133;sudouest_prairie_41_1;solnu;;18.42;0.0;29.15;0.62;0.0;258.57;251.04;48.53;302.01;250.42;310.02;0.0;50.9;0.0;0.0
2022;134;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;140.16;310.7;160.74;17.01;0.0;47.89;298.68;167.49;310.4;250.42;310.02;96.85;380.18;240.0;1828.13
2022;315;365;sudouest_prairie_41_1;solnu;;17.6;0.0;63.06;1.24;0.0;167.49;301.37;56.78;310.26;250.42;310.02;0.0;80.32;0.0;0.0
2023;1;150;sudouest_prairie_41_1;solnu;;158.74;0.0;47.6;14.83;0.0;309.85;248.32;38.31;291.79;56.36;309.85;0.0;187.86;0.0;0.0
2023;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;146.3;267.23;46.83;5.71;0.0;35.67;251.04;85.8;234.4;56.36;309.85;89.04;192.98;210.0;1802.84
2023;315;365;sudouest_prairie_41_1;solnu;;18.55;0.0;20.93;0.59;0.0;85.8;298.68;56.91;310.4;56.36;309.85;0.0;115.47;0.0;0.0
2024;1;226;sudouest_prairie_41_1;solnu;;253.67;0.0;186.47;59.56;0.0;310.23;248.32;46.25;299.73;56.74;310.23;0.0;429.47;0.0;0.0
2024;227;366;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;78.69;31.36;75.1;20.87;0.0;45.45;251.04;112.43;309.99;56.74;310.23;99.04;199.73;0.0;20.08
2025;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;267.28;170.42;69.61;61.13;0.0;310.4;248.32;242.35;302.15;113.48;310.4;98.54;495.14;0.0;20.08
2026;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;283.9;192.43;155.11;72.28;0.0;301.95;248.32;242.86;260.96;242.35;301.95;99.09;590.26;0.0;20.08
2027;1;122;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;69.96;17.27;101.45;16.56;0.0;260.88;248.32;276.6;292.12;242.84;260.88;99.17;225.0;0.0;20.08
2027;123;150;sudouest_prairie_41_1;solnu;;60.67;0.0;10.11;0.59;0.0;276.6;251.04;41.92;295.41;242.84;260.88;0.0;69.54;0.0;0.0
2027;151;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;155.7;281.12;55.23;6.83;0.0;40.45;298.68;164.43;309.87;242.84;260.88;92.95;295.87;210.0;1798.07
2027;315;365;sudouest_prairie_41_1;solnu;;17.31;0.0;85.37;0.34;0.0;164.43;301.37;56.44;309.93;242.84;260.88;0.0;113.31;0.0;0.0
2028;1;138;sudouest_prairie_41_1;solnu;;129.06;0.0;115.71;13.45;0.0;310.4;248.32;47.12;300.6;56.91;310.4;0.0;225.62;0.0;0.0
2028;139;314;sudouest_prairie_41_1;maisDP;maisDP_accalmie;165.25;266.33;35.52;7.35;0.0;46.79;251.04;155.78;291.54;56.91;310.4;85.32;233.1;225.0;1949.52
2028;315;366;sudouest_prairie_41_1;solnu;;25.41;0.0;69.75;1.61;0.0;155.78;298.68;56.18;309.67;56.91;310.4;0.0;115.86;0.0;0.0
2029;1;227;sudouest_prairie_41_1;solnu;;280.46;0.0;152.83;67.0;0.0;310.4;248.32;43.2;296.69;56.91;310.4;0.0;416.94;0.0;0.0
2029;228;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;98.63;22.62;167.98;12.28;0.0;41.83;251.04;110.77;309.63;56.91;310.4;99.99;302.82;0.0;18.06
2030;1;365;sudouest_prairie_41_1;alfalfa;luzernePreLuzerne_t2050_aveyron;285.88;190.3;199.87;58.26;0.12;310.08;248.32;249.96;310.15;111.87;310.08;98.03;676.05;0.0;18.06
